f0_GHz,alpha,in_continuum,RL,XL,X2,X3,ZLi_f0,ZLi_2f0,ZLi_3f0,err_Z1,dist_3f0,reachable,converged
2.4,0.5911657619311629,True,7.340381162212651,-50.64968201641669,-1000000.0,847.8443882807038,(36.887574031276344+25.409152669257868j),(0.2900989530061106-25.997105546684818j),(0.6741941072910167-0.01796949153020246j),0.035523654562405645,0.6744335378165776,True,True
2.5,0.48852465824327573,True,8.821928378511515,-55.601532762379165,-1000000.0,152.74946123970082,(36.890860486448254+21.062856779232405j),(0.18108831815331097-21.483360370906293j),(0.8087200274689574-0.08055549478201039j),0.03715396079073083,0.812722136138155,True,True
2.6,0.41817483549851864,True,10.383053890382238,-60.916971975844376,-1000000.0,83.62669757354908,(36.90222272801192+18.004886911164302j),(0.13924136730410253-18.389656565882856j),(0.9623461924982126+0.0099474888906143j),0.005591233752294494,0.9623976032550351,True,True
2.7,0.36447663047959405,True,12.135363422043792,-66.75743906170136,-1000000.0,54.80499184322252,(36.90151470470479+15.691723420857437j),(0.12573237727315945-16.028224301970628j),(0.9979405100930253-0.011058116768199079j),0.0032166725667462743,0.9980017753647468,True,True
2.8,0.3202208501262016,True,14.224188512107073,-73.27373104041659,-1000000.0,36.829514875956875,(36.90147281698852+13.786243702269754j),(0.12739031876616239-14.082032105149842j),(0.9660271734189773-0.12196883481170319j),0.002509323505112029,0.9736965114701724,True,True
2.9,0.28149216191531706,True,16.81742849464887,-80.63686370724307,-1000000.0,24.25174064838854,(36.902503187396555+12.118096064700005j),(0.13944102611963763-12.378899312387983j),(0.8943382768732113-0.14563344957344695j),0.0026211519952342656,0.906118124261515,True,True
3.0,0.2458137290985659,True,20.144943772627926,-89.05301715918554,-1000000.0,13.748825509969816,(36.90019960116185+10.581717253047948j),(0.16054036034959512-10.809904550838533j),(0.6953557610350138-0.04900408351182249j),0.00021331244319396585,0.6970803645243616,True,True
3.1,0.2113364915597262,True,24.54269186537477,-98.7641134593056,-1000000.0,2.292348751102558,(36.900107790283606+9.097959508933013j),(0.19125414692686918-9.293733552830519j),(0.40724882777576377-0.04569580895976954j),0.00036335020305848666,0.40980448348111254,True,True
3.2,0.17638043498271777,True,30.529056192587834,-110.04948682346817,-1000000.0,-21.870448633931602,(36.90006672944843+7.5932303953340305j),(0.23436854346068076-7.756506008799996j),(1.3132446151476018+0.2363485842727371j),0.00031505444470735313,1.3343433113340433,True,True
3.3,0.13905850898668604,True,38.91935267672018,-123.17640566893328,-1000000.0,557.4916168954132,(36.900071751484575+5.986567070609253j),(0.2961973825238117-6.115236991198505j),(11.761734705419677+7.283626905561174j),0.00023686833647229826,13.834363887800855,True,True
3.4,0.09687149730318328,True,51.00211821134689,-138.24239940294922,-1000000.0,33.25137671739182,(36.899937260678776+4.170305126505311j),(0.3880634241660666-4.260020965404788j),(26.824173955678404-44.1723506280089j),6.922035769810332e-05,51.67913378152012,True,True
3.5,0.04567440455899543,True,68.714021433836,-154.6918285912301,-1000000.0,-27.573024802750027,(36.89997821593198+1.9663742423642023j),(0.5321593058206217-2.008577614886383j),(6.709468515185834-23.792206858548944j),9.712176580729795e-05,24.72015523730087,True,True
3.6,-0.02202973215165548,True,94.27740163132265,-170.12685735456236,-1000000.0,-26.445710993063585,(36.90000669261022-0.9483088042700604j),(0.7907642911488618+0.9687795011012014j),(5.811386466671226-14.525225711023596j),6.985388826143723e-05,15.644628299233908,True,True
3.7,-0.12284796534705746,True,126.95502865285158,-178.4963030178201,-1000000.0,-34.848059126423884,(36.900033011249334-5.288399505138649j),(1.3304289836295193+5.402362124102199j),(5.597207590154519-9.790612616604948j),5.175535458423504e-05,11.277625114167758,True,True
3.8,-0.3028821184061198,True,151.4266520744742,-174.86426749007583,-1000000.0,-47.24134026028202,(36.90009409009503-13.036554023419784j),(2.7961157490524347+13.319544039027523j),(5.44792994265525-6.871613526257363j),0.00011637609850674393,8.76920823759607,True,True
