Z,E,f0,X2i,alpha
30.0,0.0,2.4,-11.276860073095875,0.2587053006398329
30.0,0.0,2.6,-8.965330936293801,0.20567592576084306
30.0,0.0,2.8,-6.425838788357878,0.1474167937555015
30.0,0.0,3.0,-3.1685204257767405,0.07268982890810885
30.0,0.0,3.2,2.2194117491905474,-0.05091608657872511
30.0,0.0,3.4,17.251744127076012,-0.39577662771614014
30.0,0.0,3.6,-53.75406093535254,1.2331855148287292
30.0,0.0,3.8,-21.511142345280323,0.49349256011599996
30.0,10.0,2.4,-7.741924059865774,0.17760943901545406
30.0,10.0,2.6,-4.86602670320953,0.11163274998673238
30.0,10.0,2.8,-1.2463766958230638,0.028593443184833766
30.0,10.0,3.0,4.360460695460338,-0.10003443226528813
30.0,10.0,3.2,17.02634202632546,-0.39060562108295127
30.0,10.0,3.4,51.53484846788385,-1.182274000022415
30.0,10.0,3.6,-34.33678888071584,0.7877289629216221
30.0,10.0,3.8,-16.801625978514657,0.3854503533638646
30.0,20.0,2.4,-3.652682750722943,0.0837971193259903
30.0,20.0,2.6,0.4599617939255637,-0.010552099911591954
30.0,20.0,2.8,6.688065043791185,-0.15343259263992512
30.0,20.0,3.0,19.740298236586597,-0.45286717729167303
30.0,20.0,3.2,79.55723060683862,-1.8251425599683162
30.0,20.0,3.4,-56.24555514933121,1.290343514084882
30.0,20.0,3.6,-24.768287518577505,0.5682155517842025
30.0,20.0,3.8,-13.219135764274805,0.30326353878013623
30.0,30.0,2.4,1.6737422121805199,-0.03839774364397747
30.0,30.0,2.6,8.595477192512085,-0.1971910174301903
30.0,30.0,2.8,22.810494470299883,-0.5233013260279021
30.0,30.0,3.0,88.01526277772446,-2.0191804163757765
30.0,30.0,3.2,-78.6114683644415,1.8034455890325072
30.0,30.0,3.4,-33.13918341845009,0.7602543929477917
30.0,30.0,3.6,-19.665877506563433,0.45115987249142886
30.0,30.0,3.8,-9.300740176059959,0.21337063400840756
30.0,40.0,2.4,9.62884423244463,-0.22089775219538013
30.0,40.0,2.6,24.797469914676814,-0.568885032517964
