f0_GHz,alpha,in_continuum,RL,XL,X2,X3,ZLi_f0,ZLi_2f0,ZLi_3f0,err_Z1,dist_3f0,reachable,converged
2.4,0.3959670161779216,True,12.685388963824932,5.7637104642348636,-1000000.0,915.8232662294225,(27.884338152018323+12.805223534779342j),(0.16650809378865583-13.117991278958364j),(0.6896621350720958+0.016934777992225508j),0.006528001325540049,0.6898700220025855,True,True
2.5,0.36485562481568634,True,12.570344790163686,5.082219998691692,-1000000.0,218.75002741176925,(27.88437276593316+11.803882048118803j),(0.17466934973201426-12.087301994518873j),(0.805693746280578-0.030929673338242012j),0.006804316047132093,0.8062872053359417,True,True
2.6,0.3349527350373266,True,12.493423058180497,4.442661971327828,-1000000.0,122.9811843382082,(27.884038131400672+10.840761238920427j),(0.1855890403586071-11.096649159051593j),(1.0064849833152565-0.0352568274561703j),0.006693795614222981,1.007102311347455,True,True
2.7,0.30580667574799525,True,12.453666375244227,3.8384759471045844,-1000000.0,84.46125085598923,(27.88345012206255+9.9015397927329j),(0.1997991992038996-10.131069360855333j),(1.1996614563951944-0.13821281177584271j),0.006417896147930481,1.2075969490269605,True,True
2.8,0.27697271951692465,True,12.4518093864796,3.2649875073168815,-1000000.0,62.02103392636633,(27.882769368580547+8.971806794851886j),(0.2180823911783553-9.175829224876196j),(1.5334750399644954-0.14955940094136178j),0.006048893421166541,1.5407510222628606,True,True
2.9,0.2479871550599055,True,12.49016607223394,2.7192374777714163,-1000000.0,47.24134026028204,(27.882037302437276+8.036528755660624j),(0.24138667649684054-8.215566459979609j),(2.2306462154700855-0.3788320776796623j),0.005571081639971896,2.2625861932023947,True,True
3.0,0.21833173792782376,True,12.57298361293719,2.2000607421398732,-1000000.0,35.829493304782716,(27.881319993760673+7.078828706712775j),(0.27086344552645825-7.233112145810873j),(3.3996707674064988-1.3859868130912965j),0.0049390866649833085,3.6713377361421355,True,True
3.1,0.18738463579021394,True,12.706997924411727,1.708230978934202,-1000000.0,26.167153892196772,(27.88028213365356+6.078423153493383j),(0.30795289984670143-6.2078655990939975j),(4.806025363937801-4.273837490027927j),0.003943620622205842,6.431451367302849,True,True
3.2,0.1543446018880174,True,12.902300705410298,1.2478683548508334,-1000000.0,17.094455929468275,(27.879430320040157+5.009881448044566j),(0.354708864160256-5.113282315948128j),(4.053194647379538-9.470521525498436j),0.0034903434964844173,10.30141567040547,True,True
3.3,0.11811714377390399,True,13.174903517112512,0.8275086945534226,-1000000.0,9.37982820997116,(27.878850415065845+3.836856912851898j),(0.414877234765278-3.913102856085665j),(1.6646646184444127-12.755092218154113j),0.0029806979867329536,12.863261086735209,True,True
3.4,0.07715042320016309,True,13.548487006390374,0.46399805075194606,-1000000.0,7.138313686379689,(27.878478992775285+2.508579458846606j),(0.4953812355918597-2.555916370198203j),(0.6752340267013496-13.142559568862717j),0.0024262065840270925,13.159894110969141,True,True
3.5,0.029132297739138197,True,14.059107959189728,0.19018790735426624,-1000000.0,995.6118953450467,(27.878371346400645+0.9490363187709778j),(0.6090004034886773-0.9651238917999092j),(1.5283849962386786-11.499052683952693j),0.0018221257135042437,11.600179883305564,True,True
3.6,-0.029601111570496896,True,14.762195519875558,0.07235454026848549,-1000000.0,-132.84681326240758,(27.878559579871055-0.9628014481709213j),(0.7800884634221017+0.9806552252189916j),(3.1071565051055416-8.174851561689223j),0.0011520552411422153,8.745434214655806,True,True
3.7,-0.10531536881210266,True,15.740961767620698,0.25420631981901165,-1000000.0,-1527.3419993471882,(27.87905213849598-3.435105838229412j),(1.0587205232876997+3.4889928533761485j),(3.588553879434489-4.509394410570421j),0.0005259384025457923,5.76301630187596,True,True
3.8,-0.2097682703439799,True,17.09480866839477,1.0783778659523062,-1000000.0,175.81748998148058,(27.87968261755706-6.861843208901472j),(1.5622217295611764+6.94941302822571j),(3.066712586598115-2.0734161175634145j),0.0006977203593267245,3.70186175935448,True,True
