Z,E,f0,alpha
70.0,45.0,3.0,0.54718164147611
70.0,45.0,3.025,0.5142626327462387
70.0,45.0,3.05,0.48536508689264696
70.0,45.0,3.075,0.4597201138361646
70.0,45.0,3.1,0.43666598003082313
70.0,45.0,3.125,0.4156479223825807
70.0,45.0,3.15,0.396274705754195
70.0,45.0,3.175,0.37827686482415895
70.0,45.0,3.2,0.3614435386884073
70.0,45.0,3.225,0.3455956164826133
70.0,45.0,3.25,0.3305779201294297
70.0,45.0,3.275,0.3162554974054797
70.0,45.0,3.3,0.30251034317802644
70.0,45.0,3.325,0.28923778865420463
70.0,45.0,3.35,0.276346118652703
70.0,45.0,3.375,0.2637493757588315
70.0,45.0,3.4,0.2513696873612026
70.0,45.0,3.425,0.23913327216437777
70.0,45.0,3.45,0.2269690689449065
70.0,45.0,3.475,0.21480712598689924
70.0,45.0,3.5,0.2025770210518198
70.0,45.0,3.525,0.1902062481088148
70.0,45.0,3.55,0.17761849642370073
70.0,45.0,3.575,0.16473173699583749
70.0,45.0,3.6,0.15145601423783017
70.0,45.0,3.625,0.1376908145123242
70.0,45.0,3.65,0.12332184418488668
70.0,45.0,3.675,0.10821699307216649
70.0,45.0,3.7,0.09222117697241226
70.0,45.0,3.725,0.07514963445118701
70.0,45.0,3.75,0.05677908425585319
70.0,45.0,3.775,0.03683591974097679
70.0,45.0,3.8,0.01498030131925643
70.0,47.5,2.4,-0.1907161373871926
70.0,47.5,2.425,-0.24563929110221636
70.0,47.5,2.45,-0.3128604564199517
70.0,47.5,2.475,-0.397434091139151
70.0,47.5,2.5,-0.5075467812740063
70.0,47.5,2.525,-0.6572793845441641
70.0,47.5,2.55,-0.8726824564378827
70.0,47.5,2.575,-1.205967802571043
70.0,47.5,2.6,-1.7635736334199603
70.0,47.5,2.625,-2.5697204644691127
70.0,47.5,2.65,0.04194633458883708
70.0,47.5,2.675,2.8467342288707838
70.0,47.5,2.7,2.1477548298182705
70.0,47.5,2.725,1.624302170458775
70.0,47.5,2.75,1.3050488703086143
70.0,47.5,2.775,1.0966666239780358
70.0,47.5,2.8,0.9509538815329661
70.0,47.5,2.825,0.8433659854348076
70.0,47.5,2.85,0.7604903094309049
